"photographer","nationality","birth_place","bp_lon","bp_lat","death_place","dp_lon","dp_lat","n_photo","party_type","birth_date","death_date","birth_year","death_year","title","creation_date","item_width","item_height","item_depth","surface","Medium","Method Acquired"
"Aaronel deRoy Gruber","American","Pittsburgh (Allegheny county, Pennsylvania, United States)","-79.9958864","40.440625","Pittsburgh","-79.9958864","40.440625",5,"Person","1918-01-01","2011-01-01","1918","2011","End of an Era, Pennsylvania","1998",13.063,5.375,0.875,70.213625,"gelatin silver print","Foundation"
"Aaronel deRoy Gruber","American","Pittsburgh (Allegheny county, Pennsylvania, United States)","-79.9958864","40.440625","Pittsburgh","-79.9958864","40.440625",5,"Person","1918-01-01","2011-01-01","1918","2011","Downtown Pittsburgh Skyscrapers from Mt. Washington","1996",53.75,21,0,1128.75,"gelatin silver print","Individual"
"Adolf de Meyer","French","Paris (Ville de Paris department, Île-de-France, France)","2.3522148","48.856582","Hollywood (Los Angeles, Los Angeles county, California, United States)","-118.3286614","34.092809",1,"Person","1868-01-01","1949-01-01","1868","1949","Dining Room in Rue Vaneau, Paris","1920",7.375,9.5,0,70.0625,"gelatin silver print","Individual"
"Alan Cohen","American","Harrisburg, PA","-76.8867008","40.273191",NA,NA,NA,5,"Person","1943-01-01",NA,"1943",NA,"Robert Morris 131-8","1989",23.625,19.625,0,463.640625,"gelatin silver print","Individual"
"Alan Cohen","American","Harrisburg, PA","-76.8867008","40.273191",NA,NA,NA,5,"Person","1943-01-01",NA,"1943",NA,"Robert Morris 132-2","1989",23.75,19.75,0,469.0625,"gelatin silver print","Individual"
"Alan Cohen","American","Harrisburg, PA","-76.8867008","40.273191",NA,NA,NA,5,"Person","1943-01-01",NA,"1943",NA,"Robert Morris 131-5","1989",23.5,19.75,0,464.125,"gelatin silver print","Individual"
"Alan Cohen","American","Harrisburg, PA","-76.8867008","40.273191",NA,NA,NA,5,"Person","1943-01-01",NA,"1943",NA,"Robert Morris 134-7","1989",19.625,20.5,0,402.3125,"gelatin silver print","Individual"
"Alan Cohen","American","Harrisburg, PA","-76.8867008","40.273191",NA,NA,NA,5,"Person","1943-01-01",NA,"1943",NA,"Robert Morris 132-10","1989",23.5,19,0,446.5,"gelatin silver print","Individual"
"Alexandre Georges","American","France","2.2137490","46.227638",NA,NA,NA,4,"Person","1916-01-01",NA,"1916",NA,"Flower","1977",23.875,19.875,0,474.515625,"chromogenic print","Individual"
"Alexandre Georges","American","France","2.2137490","46.227638",NA,NA,NA,4,"Person","1916-01-01",NA,"1916",NA,"Reflected Plants","1977",23.875,19.875,0,474.515625,"chromogenic print","Individual"
"Alexandre Georges","American","France","2.2137490","46.227638",NA,NA,NA,4,"Person","1916-01-01",NA,"1916",NA,"Tree Trunk and Leaves","1977",27,35,0.75,945,"others","Individual"
"Alexandre Georges","American","France","2.2137490","46.227638",NA,NA,NA,4,"Person","1916-01-01",NA,"1916",NA,"Water and Trees","1977",19.875,23.875,0,474.515625,"chromogenic print","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Katherine (Portrait of the Photographer's Daughter)","1906",16.625,22.75,1.5,378.21875,"Photogravure","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Lou Schram and Daughter","1895",4.25,6.75,0,28.6875,"platinum print","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Lower Manhattan","1910",8,6.5,0,52,"Photogravure","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Portrait of Ben Benn","1914",11,13.188,0,145.068,"platinum print","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Spring","1901",11.688,8.313,0,97.162344,"Photogravure","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 4","1903",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 6","1904",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 7","1904",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 10","1905",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 11","1905",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 13","1906",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 15","1906",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 19","1907",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 19","1907",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 21","1908",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 24","1908",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 27","1909",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 29","1910",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 39","1912",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 44","1913",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 45","1914",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 46","1914",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 47","1914",9,12,1,108,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 1, No. 4","1898",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 2, No. 1","1898",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 2, No. 2","1898",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 2, No. 4","1899",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 3, No. 1","1899",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 3, No. 2","1899",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 3, No. 3","1900",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 3, No. 4","1900",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 4, No. 1","1900",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 4, No. 2","1900",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 4, No. 3","1901",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 4, No. 4","1901",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 5, No. 1","1901",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 5, No. 2","1901",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 5, No. 3","1902",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 5, No. 4","1902",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 6, No. 1","1902",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 6, No. 2","1902",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 6, No. 3","1903",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Notes, Vol. 6, No. 4","1903",8.5,11.5,0.75,97.75,"others","Individual"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Stieglitz's Sister","1946",8.375,11.875,0,99.453125,"Photogravure","Foundation"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","Camera Work, Vol. 15","1906",9,12,1,108,"others","Foundation"
"Alfred Stieglitz","American","Hoboken (Hudson county, New Jersey, United States)","-74.0323626","40.743991","New York City (New York state, United States)","-74.0059728","40.712775",50,"Person","1864-01-01","1946-01-01","1864","1946","The Steerage","1907",10.375,13.125,0,136.171875,"Photogravure","Museum Internal Collection"
"Algimantas S. J. Kezys","Lithuanian","Lithuania","23.8812750","55.169438",NA,NA,NA,6,"Person","1928-01-01",NA,"1928",NA,"A Path Near Bahai Temple, Evanston, Illinois","1968",14,10.875,0,152.25,"gelatin silver print","Artist"
"Algimantas S. J. Kezys","Lithuanian","Lithuania","23.8812750","55.169438",NA,NA,NA,6,"Person","1928-01-01",NA,"1928",NA,"A Grill and Its Reflection, Flushing Meadow Park","1968",10.875,14,0,152.25,"gelatin silver print","Artist"
"Algimantas S. J. Kezys","Lithuanian","Lithuania","23.8812750","55.169438",NA,NA,NA,6,"Person","1928-01-01",NA,"1928",NA,"Luxembourg","1962",10.875,14,0,152.25,"gelatin silver print","Artist"
"Algimantas S. J. Kezys","Lithuanian","Lithuania","23.8812750","55.169438",NA,NA,NA,6,"Person","1928-01-01",NA,"1928",NA,"Las Vegas, Nevada","1965",14,10.875,0,152.25,"gelatin silver print","Artist"
"Algimantas S. J. Kezys","Lithuanian","Lithuania","23.8812750","55.169438",NA,NA,NA,6,"Person","1928-01-01",NA,"1928",NA,"White Sox Park, Chicago, Illinois","1965",10.875,14,0,152.25,"gelatin silver print","Artist"
"Algimantas S. J. Kezys","Lithuanian","Lithuania","23.8812750","55.169438",NA,NA,NA,6,"Person","1928-01-01",NA,"1928",NA,"Yellowstone National Park, Wyoming","1965",14,11,0,154,"gelatin silver print","Artist"
"Alice Boughton","American","Brooklyn, New York, USA","-73.9441579","40.678178",NA,NA,NA,1,"Person","1865-01-01","1943-01-01","1865","1943","The Fuller Sisters","1910",13.875,13.25,0.75,183.84375,"gelatin silver print","Individual"
"Alison Rossiter","American","Jackson, Mississippi, United States","-90.1848103","32.298757",NA,NA,NA,2,"Person","1953-01-01",NA,"1953",NA,"Gevaert Ortho-Brom, exact expiration date unknown, c. 1940's (#1), processed 2011","2011",7,9.375,0,65.625,"gelatin silver print","Foundation"
"Alison Rossiter","American","Jackson, Mississippi, United States","-90.1848103","32.298757",NA,NA,NA,2,"Person","1953-01-01",NA,"1953",NA,"Gevaert Ortho-Brom, exact expiration date unknown, c. 1940's (#5), processed 2011","2011",7,9.5,0,66.5,"gelatin silver print","Foundation"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Men of Mark","1913",9.5,12.375,1,117.5625,"others","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","More Men of Mark","1922",9.5,12.25,0.75,116.375,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Portrait of a Young Girl","1905",6,8.375,0,50.25,"platinum print","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","G. Bernard Shaw, Welwyn, August 1st, 1904","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","G. K. Chesterton, Westerham, August 12th, 1904","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Andrew Lang, St. Andrews, August 27th 1904","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Frank Brangwyn, Hammersmith, September 8th, 1905","1905",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","George Meredith, Box Hill, October 24th, 1904","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","H. G. Wells, Sandgate, November 2nd, 1905","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Edward Carpenter, Bloomsbury, November 28th, 1905","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","H. Granville Barker, Clement's Inn, March 27th, 1906","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Auguste Rodin, Meudon, April 21st, 1906","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Henry James, Rye, June 12th, 1906","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Arthur Symons, St. John's Wood, September 22nd, 1906","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","John S. Sargent, Chelsea, January 12th, 1907","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Charles Shannon, Holland Park, February 5th, 1907","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Theodore Roosevelt, The White House, April 1st, 1907","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","William Orpen, Chelsea, January 14th, 1908","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Max Beerbohm, London, January 15th, 1908","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","H. Belloc, Bloomsbury, January 20th, 1908","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","George Moore, Dublin, January 23rd, 1908","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","W. B. Yeats, Dublin, January 24th, 1908","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","William Nicholson, Bloomsbury, February 3rd, 1908","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","William De Morgan, Chelsea, July 21st 1908","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Mark Twain, Stormfield, December 21st, 1908","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","John Galsworthy, Adelphi Terrace, October 18th, 1909","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","J. M. Barrie, Adelphi Terrace, October 18th, 1909","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Herbert Trench, Hammersmith, January 2nd, 1910","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","W. D. Howells, New York, November 22nd, 1910","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Max Weber, New York, February 7th, 1911","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
"Alvin Langdon Coburn","British",NA,NA,NA,NA,NA,NA,33,"Person","1881-01-01","1966-01-01","1881","1966","Clarence H. White, New York, October 20th, 1912","1913",9.25,12.125,0,112.15625,"Photogravure","Individual"
