"photographer","nationality","birth_place","bp_lon","bp_lat","death_place","dp_lon","dp_lat","n_photo","party_type","birth_date","death_date","birth_year","death_year","first_name","gender","age_at_death"
"Berenice Abbott","American","Springfield (Clark county, Ohio, United States)","-83.8088171","39.924227",NA,NA,NA,17,"Person","1898-01-01","1991-01-01","1898","1991","Berenice","female",93
"Bill Brandt","British","Hamburg (Hamburg state, Germany)","9.9936819","53.551085","London (Greater London, England, United Kingdom)","-0.1277583","51.507351",1,"Person","1904-01-01","1983-01-01","1904","1983","Bill","male",79
"Bill Witt","American","Newark, New Jersey","-74.1723667","40.735657",NA,NA,NA,27,"Person","1921-01-01",NA,"1921",NA,"Bill","male",NA
"Blythe Bohnen","American","Evanston, Illinois","-87.6876969","42.045072",NA,NA,NA,6,"Person","1940-01-01",NA,"1940",NA,"Blythe","female",NA
"Boris Mikhailov","Ukrainian","Kharkiv, Ukraine","36.2303830","49.993500",NA,NA,NA,3,"Person","1938-08-25",NA,"1938",NA,"Boris","male",NA
"Brady W. Stewart","American","McKeesport, PA","-79.8641232","40.347067",NA,NA,NA,2,"Person","1882-01-01","1965-01-01","1882","1965","Brady","male",83
"Brassaï","French","Brașov (Brașov county, Romania) (Hungary)",NA,NA,"Azur, Côte d' (Provence-Alpes-Côte d'Azur, France)","6.6378577","43.254773",3,"Person","1899-01-01","1984-01-01","1899","1984","Brassa�",NA,85
"C. C. Kough","American","Uniontown, Pennsylvania","-79.7164326","39.900076","Pasadena, California","-118.1445155","34.147785",1,"Person","1866-01-01","1912-01-01","1866","1912","C.",NA,46
"Cecil Walter Hardy Beaton","British","London (Greater London, England, United Kingdom)","-0.1277583","51.507351","Broad Chalke (Wiltshire, England, United Kingdom)","-1.9488200","51.024502",4,"Person","1904-01-01","1980-01-01","1904","1980","Cecil","male",76
"Chasmar-Winchell Press","American",NA,NA,NA,NA,NA,NA,14,"Organization",NA,NA,NA,NA,"Chasmar",NA,NA
"Chautauqua Photographic Company","American",NA,NA,NA,NA,NA,NA,45,"Organization","1897-01-01","1911-01-01","1897","1911","Chautauqua",NA,NA
"Clarence H. White","American","West Carlisle, Ohio","-82.1181972","40.228958",NA,NA,NA,16,"Person","1871-01-01","1925-01-01","1871","1925","Clarence","male",54
"Clyde Hare","American","Bloomington, Indiana","-86.5263857","39.165325","Pittsburgh, PA","-79.9958864","40.440625",45,"Person","1927-01-01","2009-01-01","1927","2009","Clyde","male",82
"David Goldblatt","South African","Randfontein, South Africa","27.6786847","-26.199150",NA,NA,NA,2,"Person","1930-11-29",NA,"1930",NA,"David","male",NA
"David Levinthal","American","San Francisco, CA","-122.4194155","37.774929",NA,NA,NA,1,"Person","1949-01-01",NA,"1949",NA,"David","male",NA
"David Octavius Hill","Scottish","Perth (Perth and Kinross, Scotland, United Kingdom)","-3.4308381","56.394994","Edinburgh (Edinburgh, Scotland, United Kingdom)","-3.1882670","55.953252",4,"Person","1802-01-01","1870-01-01","1802","1870","David","male",68
"Dorothy Wilding","English","Gloucester, England","-2.2381560","51.864245",NA,NA,NA,1,"Person","1893-01-01","1976-01-01","1893","1976","Dorothy","female",83
"Douglas Keats","American","Massachusetts","-71.3824374","42.407211",NA,NA,NA,25,"Person","1948-01-01",NA,"1948",NA,"Douglas","male",NA
"Duane Michals","American","Pittsburgh, Pennsylvania","-79.9958864","40.440625",NA,NA,NA,44,"Person","1932-01-01",NA,"1932",NA,"Duane","male",NA
"Dulce Pinzón","Mexican","Mexico City","-99.1332080","19.432608",NA,NA,NA,2,"Person","1974-01-01",NA,"1974",NA,"Dulce","female",NA
"Dylan Vitone","American","Portland, Maine","-70.2553259","43.661471",NA,NA,NA,9,"Person","1978-01-01",NA,"1978",NA,"Dylan","male",NA
"E. J. Bellocq","American","New Orleans (Orleans parish, Louisiana, United States)","-90.0715323","29.951066","New Orleans (Orleans parish, Louisiana, United States)","-90.0715323","29.951066",2,"Person","1873-01-01","1949-01-01","1873","1949","E.",NA,76
"Eadweard Muybridge","American","Kingston upon Thames (Greater London, England, United Kingdom)","-0.3006890","51.412330","Kingston upon Thames (Greater London, England, United Kingdom)","-0.3006890","51.412330",3,"Person","1830-01-01","1904-01-01","1830","1904","Eadweard",NA,74
"Edward J. Steichen","American","Luxembourg (Europe)","6.1295830","49.815273","Connecticut, West Redding","-73.4342882","41.326484",25,"Person","1879-01-01","1973-01-01","1879","1973","Edward","male",94
"Edward Weston","American","Highland Park (Lake county, Illinois, United States)","-87.8003437","42.181692","Carmel (Monterey county, California, United States)","-121.9232879","36.555239",4,"Person","1886-01-01","1958-01-01","1886","1958","Edward","male",72
"Eliot Porter","American","Winnetka (Cook county, Illinois, United States)","-87.7358950","42.108083","Santa Fe (Santa Fe county, New Mexico, United States)","-105.9377990","35.686975",14,"Person","1901-01-01","1990-01-01","1901","1990","Eliot","male",89
"Elliott Erwitt","American","Paris, France","2.3522219","48.856614",NA,NA,NA,37,"Person","1928-01-01",NA,"1928",NA,"Elliott","male",NA
"Ellsworth Kelly","American","Newburgh (Orange county, New York state, United States)","-74.0104178","41.503427","Spencertown, New York","-73.5464194","42.323384",4,"Person","1923-05-31","2015-12-27","1923","2015","Ellsworth","male",92
"Emmet Gowin","American","Danville (Virginia, United States)","-79.3950228","36.585972",NA,NA,NA,1,"Person","1941-01-01",NA,"1941",NA,"Emmet","male",NA
"Ernest Cole","South African","Eersterust, Pretoria, South Africa","28.3140488","-25.705664","New York, NY","-74.0059728","40.712775",1,"Person","1940-03-21","1990-02-18","1940","1990","Ernest","male",50
"Esther Bubley","American","Phillips (Price county, Wisconson United States)","-90.4004296","45.696626","Manhattan (New York City, New York state, United States)","-73.9712488","40.783060",13,"Person","1921-01-01","1998-01-01","1921","1998","Esther","female",77
"Eugène Atget","French","Libourne (Gironde, Aquitaine, France)","-0.2439850","44.912998","Paris","2.3522219","48.856614",31,"Person","1857-01-01","1927-01-01","1857","1927","Eug�",NA,70
"Eve Arnold","American","Philadelphia, Pennsylvania","-75.1652215","39.952584",NA,NA,NA,1,"Person","1912-01-01",NA,"1912",NA,"Eve","female",NA
"Frank E. Bingaman","American","Pittsburgh, PA","-79.9958864","40.440625",NA,NA,NA,29,"Person","1875-01-01","1948-01-01","1875","1948","Frank","male",73
"Frank Eugene","American","New York City (New York state, United States)","-74.0059728","40.712775","Munich (Oberbayern, Bavaria, Germany)","11.5819805","48.135125",1,"Person","1865-01-01","1936-01-01","1865","1936","Frank","male",71
"Frank Paulin","American","Pittsburgh, Pennsylvania","-79.9958864","40.440625",NA,NA,NA,12,"Person","1926-01-01",NA,"1926",NA,"Frank","male",NA
"Fred G. Korth","American","Guben, Germany (Europe)","14.6955650","51.951486","United States","-95.7128910","37.090240",3,"Person","1902-01-01","1983-01-01","1902","1983","Fred","male",81
"Gabriel Orozco","Mexican","Jalapa Enríquez (Veracruz, Mexico)","-96.9175059","19.527630",NA,NA,NA,2,"Person","1962-01-01",NA,"1962",NA,"Gabriel","male",NA
"George A. Tice","American","Newark (Essex county, New Jersey, United States)","-74.1723667","40.735657",NA,NA,NA,14,"Person","1938-01-01",NA,"1938",NA,"George","male",NA
"George Platt Lynes","American","East Orange (Essex county, New Jersey, United States)","-74.2048677","40.767323","New York City (New York state, United States)","-74.0059728","40.712775",1,"Person","1907-01-01","1955-01-01","1907","1955","George","male",48
"Geraldo de Barros","Brazilian","Chavantes, Brazil","-49.7114397","-23.037569","São Paulo, Brazil","-46.6333094","-23.550520",1,"Person","1923-01-01","1998-01-01","1923","1998","Geraldo","male",75
"Gertrude Kasebier","American","Des Moines, Iowa, USA","-93.6091064","41.600545","New York, New York, USA","-74.0059728","40.712775",4,"Person","1852-01-01","1934-01-01","1852","1934","Gertrude","female",82
"Gilbert and Bacon","American","Philadelphia","-75.1652215","39.952584",NA,NA,NA,1,"Organization","1860-01-01",NA,"1860",NA,"Gilbert","male",NA
"Gordon H. Coster","American","Baltimore","-76.6121893","39.290385",NA,NA,NA,1,"Person","1903-01-01","1988-01-01","1903","1988","Gordon","male",85
"Gordon Parks","American","Fort Scott, Kansas","-94.7082951","37.839763","New York City, New York","-74.0059728","40.712775",1,"Person","1912-11-30","2006-03-07","1912","2006","Gordon","male",94
"György Kepes","American","Lőrinci, Hungary",NA,NA,NA,NA,NA,1,"Person","1906-01-01","2001-01-01","1906","2001","Gy�",NA,95
"Hamidou Maiga","Malian","Bobo-Dioulasso, Burkina Faso","-4.3051542","11.164922",NA,NA,NA,2,"Person","1932-01-01",NA,"1932",NA,"Hamidou","male",NA
"Harold Corsini","American","New York City, New York","-74.0059728","40.712775","Pittsburgh, Pennsylvania","-79.9958864","40.440625",26,"Person","1919-01-01","2008-01-01","1919","2008","Harold","male",89
"Harry Bowden","American","Los Angeles (Los Angeles county, California, United States)","-118.2436849","34.052234","Sausalito (Marin county, California, United States)","-122.4852507","37.859094",1,"Person","1907-01-01","1965-01-01","1907","1965","Harry","male",58
"Harry Callahan","American","Detroit (Wayne county, Michigan, United States)","-83.0457538","42.331427","Atlanta (Fulton county, Georgia, United States)","-84.3879824","33.748995",3,"Person","1912-01-01","1999-01-01","1912","1999","Harry","male",87
"Harry Wilks","American","New York City","-74.0059728","40.712775",NA,NA,NA,2,"Person","1942-01-01",NA,"1942",NA,"Harry","male",NA
"Heinrich Kühn","Austrian","Dresden (Dresden district, Saxony, Germany)","13.7372621","51.050409","Birgitz (Tyrol, Austria)","11.2995002","47.235452",2,"Person","1866-01-01","1944-01-01","1866","1944","Heinrich","male",78
"Herbert List","German","Hamburg (Hamburg state, Germany)","9.9936819","53.551085","Munich (Oberbayern, Bavaria, Germany)","11.5819805","48.135125",2,"Person","1903-01-01","1975-01-01","1903","1975","Herbert","male",72
"Hew Charles Torrance","American","Scotland","-4.2026458","56.490671",NA,NA,NA,41,"Person","1859-01-01","1931-01-01","1859","1931","Hew","male",72
"Hiroshi Sugimoto","Japanese","Japan","138.2529240","36.204824",NA,NA,NA,5,"Person","1948-01-01",NA,"1948",NA,"Hiroshi","male",NA
"Horst P. Horst","American","Weissenfels (Halle district, Saxony-Anhalt, Germany)","11.9734777","51.439992","Palm Beach (Palm Beach county, Florida, United States)","-80.0364297","26.705621",1,"Person","1906-01-01","1999-01-01","1906","1999","Horst","male",93
"Imogen Cunningham","American","Portland, Oregon, USA","-122.6764815","45.523062",NA,NA,NA,1,"Person","1883-01-01","1976-01-01","1883","1976","Imogen","female",93
"Irving Penn","American","Plainfield (Union county, New Jersey, United States)","-74.4073736","40.633714","Manhattan (New York City, New York state, United States)","-73.9712488","40.783060",1,"Person","1917-01-01","2009-01-01","1917","2009","Irving","male",92
"Jack Delano","American","Kiev, Ukraine","30.5234000","50.450100","Puerto Rico","-66.5901490","18.220833",3,"Person","1914-08-01","1997-08-12","1914","1997","Jack","male",83
"Jacques Henri Charles au Lartigue","French","Courbevoie (Hauts-de-Seine department, Île-de-France, France)","2.2672013","48.895223",NA,NA,NA,6,"Person","1894-01-01","1986-01-01","1894","1986","Jacques","male",92
"James Blair","American","Philadelphia, PA","-75.1652215","39.952584",NA,NA,NA,21,"Person","1931-01-01",NA,"1931",NA,"James","male",NA
"James Hare","British","London, England","-0.1277583","51.507351",NA,NA,NA,1,"Person","1856-01-01","1946-01-01","1856","1946","James","male",90
"James J. Klingensmith","American","Pittsburgh, Pa.","-79.9958864","40.440625",NA,NA,NA,1,"Person","1911-01-01",NA,"1911",NA,"James","male",NA
"James Valentine","Scottish","Scotland","-4.2026458","56.490671","Scotland","-4.2026458","56.490671",1,"Person","1815-01-01","1880-01-01","1815","1880","James","male",65
"Jamie Gruzska","American","Hollywood, Florida","-80.1494901","26.011201",NA,NA,NA,1,"Person","1963-01-01",NA,"1963",NA,"Jamie","male",NA
"Jane Wenger","American","New York City, New York","-74.0059728","40.712775",NA,NA,NA,1,"Person","1944-01-01",NA,"1944",NA,"Jane","female",NA
"Jeff Wall","Canadian","Vancouver (British Columbia, Canada)","-123.1207375","49.282729",NA,NA,NA,1,"Person","1946-01-01",NA,"1946",NA,"Jeff","male",NA
"Jerry Spagnoli","American","New York, NY","-74.0059728","40.712775",NA,NA,NA,1,"Person","1956-01-01",NA,"1956",NA,"Jerry","male",NA
"Jim Judkis","American","Philadelphia, PA","-75.1652215","39.952584",NA,NA,NA,2,"Person","1951-01-01",NA,"1951",NA,"Jim","male",NA
"Jo Ann Callis","American","Cincinnati, Ohio","-84.5120196","39.103118",NA,NA,NA,1,"Person","1940-01-01",NA,"1940",NA,"Jo","female",NA
"Joel DeGrand","American","Kittanning, Pennsylvania","-79.5219893","40.816453",NA,NA,NA,3,"Person","1944-01-01",NA,"1944",NA,"Joel","male",NA
"Joel Meyerowitz","American","New York City","-74.0059728","40.712775",NA,NA,NA,23,"Person","1938-01-01",NA,"1938",NA,"Joel","male",NA
"Joel Sternfeld","American","New York, New York, United States of America","-74.0059728","40.712775",NA,NA,NA,3,"Person","1944-01-01",NA,"1944",NA,"Joel","male",NA
"John Divola","American","Santa Monica, CA","-118.4911912","34.019454",NA,NA,NA,2,"Person","1949-01-01",NA,"1949",NA,"John","male",NA
"John G. Bullock","American","Wilmington, Delaware, USA","-75.5397878","39.739072","West Chester, Pennsylvania, USA","-75.6054882","39.960664",1,"Person","1854-01-01","1939-01-01","1854","1939","John","male",85
"John Lefebre","American","Berlin, Germany","13.4049540","52.520007","New York","-74.0059728","40.712775",42,"Person","1905-01-01","1986-01-01","1905","1986","John","male",81
"John Van Alstine","American","New York","-74.0059728","40.712775",NA,NA,NA,1,"Person","1952-01-01",NA,"1952",NA,"John","male",NA
"Joseph B. Englander","American","California","-119.4179324","36.778261",NA,NA,NA,1,"Person","1947-01-01",NA,"1947",NA,"Joseph","male",NA
"Joseph Cornell","American","Nyack (Rockland county, New York state, United States)","-73.9179146","41.090652","Flushing (New York City, New York state, United States)","-73.8330790","40.767499",3,"Person","1903-01-01","1972-01-01","1903","1972","Joseph","male",69
"Judy Fiskin","American","Chicago (Cook County, Illinois, United States)","-87.6297982","41.878114",NA,NA,NA,2,"Person","1945-01-01",NA,"1945",NA,"Judy","female",NA
"Julia Margaret Cameron","British","Kolkata (West Bengal, India) (Calcutta)","88.3638950","22.572646","Sri Lanka (Asia)","80.7717970","7.873054",2,"Person","1815-01-01","1879-01-01","1815","1879","Julia","female",64
"Karl Struss","American","New York, New York","-115.1745559","36.102371","Santa Monica, California","-118.4911912","34.019454",6,"Person","1886-01-01","1981-01-01","1886","1981","Karl","male",95
"Kenneth Josephson","American","Detroit, Michigan, United States","-83.0457538","42.331427",NA,NA,NA,3,"Person","1932-01-01",NA,"1932",NA,"Kenneth","male",NA
"Kenneth Neely","American","Pittsburgh, PA","-79.9958864","40.440625",NA,NA,NA,2,"Person","1971-01-01",NA,"1971",NA,"Kenneth","male",NA
"Larry Clark","American","Tulsa (Tulsa county, Oklahoma, United States)","-95.9927750","36.153982",NA,NA,NA,38,"Person","1943-01-01",NA,"1943",NA,"Larry","male",NA
"Larry McPherson","American","Newark, OH","-82.4012642","40.058121",NA,NA,NA,1,"Person","1943-01-01",NA,"1943",NA,"Larry","male",NA
"LaToya Ruby Frazier","American","Braddock, Pennsylvania","-79.8683824","40.403402",NA,NA,NA,3,"Person","1982-01-01",NA,"1982",NA,"LaToya","female",NA
"Lebohang Kganye","South African","Katlehong, South Africa","28.1526196","-26.365126",NA,NA,NA,14,"Person","1990-01-01",NA,"1990",NA,"Lebohang","female",NA
"Lee Balterman","American","Chicago","-87.6297982","41.878114","Chicago","-87.6297982","41.878114",1,"Person","1920-01-01","2012-01-01","1920","2012","Lee","male",92
"Lee Friedlander","American","Aberdeen (Grays Harbor county, Washington, United States)","-123.8157218","46.975371",NA,NA,NA,2,"Person","1934-01-01",NA,"1934",NA,"Lee","male",NA
"Leonce R. Agbodjelou","Beninese","Porto Novo, Benin","2.6288523","6.496857",NA,NA,NA,5,"Person","1965-01-01",NA,"1965",NA,"Leonce","male",NA
"Leopold Hugo","American","Breslau, Prussia, present-day Poland",NA,NA,"Belton, TX","-97.4644530","31.056013",6,"Person","1863-01-01","1933-01-01","1863","1933","Leopold","male",70
"Lewis Wickes Hine","American","Oshkosh (Winnebago county, Wisconsin, United States)","-88.5426136","44.024706","Hastings-on-Hudson (Westchester county, New York state, United States)","-73.8787461","40.994542",24,"Person","1874-01-01","1940-01-01","1874","1940","Lewis","male",66
"Liliane Decock","American","Belgium","4.4699360","50.503887",NA,NA,NA,2,"Person","1939-01-01",NA,"1939",NA,"Liliane","female",NA
"Lilo Raymond","American","Germany (Europe)","10.4515260","51.165691","United States","-95.7128910","37.090240",1,"Person","1922-01-01","2009-01-01","1922","2009","Lilo","female",87
"Lina Bertucci","American","Milwaukee, Wisconsin","-87.9064736","43.038902",NA,NA,NA,1,"Person","1958-01-01",NA,"1958",NA,"Lina","female",NA
"Linda Butler","American","Appleton, Wisconsin","-88.4153847","44.261931",NA,NA,NA,1,"Person","1947-01-01",NA,"1947",NA,"Linda","female",NA
"Lothar Baumgarten","German","Rheinsberg (Potsdam district, Brandenburg, Germany)","12.9348344","52.373282",NA,NA,NA,1,"Person","1944-01-01",NA,"1944",NA,"Lothar","male",NA
"Lucien Aigner","Hungarian","Érsekújvár, Austria-Hungary (Europe)",NA,NA,"Waltham (Middlesex county, Massachusetts, United States)","-71.2356113","42.376485",1,"Person","1901-09-14","1999-03-29","1901","1999","Lucien","male",98
"Luisa Lambri","Italian","Como, Italy","9.0851765","45.808060",NA,NA,NA,4,"Person","1969-01-01",NA,"1969",NA,"Luisa","female",NA
"Luke Swank","American","Johnstown, PA","-78.9219698","40.326741",NA,NA,NA,46,"Person","1890-01-01","1944-01-01","1890","1944","Luke","male",54
"Manuel Alvarez Bravo","Mexican","Mexico City (Distrito Federal, Mexico)","-99.1332080","19.432608","Mexico City (Distrito Federal, Mexico)","-99.1332080","19.432608",17,"Person","1902-01-01","2002-01-01","1902","2002","Manuel","male",100
"Margaret Bourke-White","American","New York City (New York state, United States)","-74.0059728","40.712775","Stamford (Fairfield county, Connecticut, United States)","-73.5387341","41.053430",20,"Person","1904-01-01","1971-01-01","1904","1971","Margaret","female",67
"Marion Post Wolcott","American","Montclair, NJ","-74.2090053","40.825901","Santa Barbara, CA","-119.6981901","34.420831",1,"Person","1910-06-07","1990-11-24","1910","1990","Marion","female",80
"Mark Cohen","American","Wilkes-Barre, PA","-75.8813075","41.245915",NA,NA,NA,7,"Person","1943-01-01",NA,"1943",NA,"Mark","male",NA
"Mark Perrott","American","Rochester, PA","-80.2864509","40.702288",NA,NA,NA,33,"Person","1946-01-01",NA,"1946",NA,"Mark","male",NA
"Martha Rial","American","Pittsburgh, PA","-79.9958864","40.440625",NA,NA,NA,3,"Person","1961-01-01",NA,"1961",NA,"Martha","female",NA
"Martin Prekop","American","Toledo, OH","-83.5552120","41.663938",NA,NA,NA,2,"Person","1940-01-01",NA,"1940",NA,"Martin","male",NA
"Melissa Farlow","American","Indiana","-86.1349019","40.267194",NA,NA,NA,2,"Person","1951-01-01",NA,"1951",NA,"Melissa","female",NA
"Michael Kenna","British","Widnes, England","-2.7336370","53.361024",NA,NA,NA,12,"Person","1953-01-01",NA,"1953",NA,"Michael","male",NA
"Nakahashi, Kenji","Japanese","Japan","138.2529240","36.204824",NA,NA,NA,3,"Person","1947-01-01",NA,"1947",NA,"Nakahashi",NA,NA
"Nell Dorr","American","Cleveland, Ohio, USA","-81.6943605","41.499320",NA,NA,NA,1,"Person","1895-01-01","1988-01-01","1895","1988","Nell","female",93
"Newsha Tavakolian","Iranian","Tehran, Iran","51.3889736","35.689197",NA,NA,NA,3,"Person","1981-01-01",NA,"1981",NA,"Newsha","female",NA
"O. Winston Link","American","Brooklyn, New York","-73.9441579","40.678178","South Salem, New York","-73.5523849","41.272865",1,"Person","1914-01-01","2001-01-01","1914","2001","O.",NA,87
"Pamela Z. Bryan","American","New York City","-74.0059728","40.712775",NA,NA,NA,6,"Person","1944-01-01",NA,"1944",NA,"Pamela","female",NA
"Paul Caponigro","American","Boston, Massachusetts, USA","-71.0588801","42.360082",NA,NA,NA,2,"Person","1932-01-01",NA,"1932",NA,"Paul","male",NA
"Paul Graham","British","Stafford (Staffordshire, England, United Kingdom)","-2.1206600","52.806693",NA,NA,NA,1,"Person","1956-01-01",NA,"1956",NA,"Paul","male",NA
"Paul Mpagi Sepuya","American","San Bernardino, CA","-117.2897652","34.108345",NA,NA,NA,1,"Person","1982-01-01",NA,"1982",NA,"Paul","male",NA
"Paul Shambroom","American","Teaneck, NJ","-74.0116536","40.893247",NA,NA,NA,1,"Person","1956-01-01",NA,"1956",NA,"Paul","male",NA
"Peter Henry Emerson","British","Sagua la Grande (Villa Clara, Cuba)","-80.0702555","22.803771","United Kingdom","-3.4359730","55.378051",1,"Person","1856-01-01","1936-01-01","1856","1936","Peter","male",80
"Peter Steinhauer","American","Boulder, Colorado","-105.2705456","40.014986",NA,NA,NA,2,"Person","1966-01-01",NA,"1966",NA,"Peter","male",NA
"Philip Perkis","American","Boston, MA","-71.0588801","42.360082",NA,NA,NA,6,"Person","1935-01-01",NA,"1935",NA,"Philip","male",NA
"Philippe Halsman","American","Riga (Riga district, Latvia)","24.1051865","56.949649","New York City (New York state, United States)","-74.0059728","40.712775",6,"Person","1906-01-01","1979-01-01","1906","1979","Philippe","male",73
"Ralph Gibson","American","Los Angeles, California, USA","-118.2436849","34.052234",NA,NA,NA,2,"Person","1939-01-01",NA,"1939",NA,"Ralph","male",NA
"Rana El Nemr","Egyptian","Hanover, Germany","9.7320104","52.375892",NA,NA,NA,3,"Person","1974-01-01",NA,"1974",NA,"Rana","female",NA
"Renee Rosensteel","American","Greensburg, PA","-79.5389289","40.301458",NA,NA,NA,2,"Person","1964-01-01",NA,"1964",NA,"Renee","female",NA
"Richard Kelly","American","Pittsburgh, PA","-79.9958864","40.440625",NA,NA,NA,2,"Person","1965-01-01",NA,"1965",NA,"Richard","male",NA
"Robbert Flick","American","Netherlands","5.2912660","52.132633",NA,NA,NA,1,"Person","1939-01-01",NA,"1939",NA,"Robbert","male",NA
"Robert Atkinson Bonine","American","Lancaster, PA","-76.3055144","40.037875","Altoona, PA","-78.3947359","40.518681",6,"Person","1936-12-11","1912-10-26","1936","1912","Robert","male",NA
"Robert Doisneau","French","Gentilly (Val-de-Marne, Île-de-France, France)","2.3319215","48.816105","Paris (Ville de Paris department, Île-de-France, France)","2.3522148","48.856582",2,"Person","1912-01-01","1994-01-01","1912","1994","Robert","male",82
"Robert E. Churchill","American",NA,NA,NA,NA,NA,NA,32,"Person",NA,NA,NA,NA,"Robert","male",NA
"Robert Frank","American","Zurich (Zürich canton, Switzerland)","8.5416940","47.376887",NA,NA,NA,1,"Person","1924-01-01",NA,"1924",NA,"Robert","male",NA
"Robert M. Cargo","American",NA,NA,NA,NA,NA,NA,7,"Person","1828-01-01","1902-01-01","1828","1902","Robert","male",74
